Date,Distance (in AU)
 1951-Jan-01,0.002529927
 1951-Jan-02,0.002497002
 1951-Jan-03,0.002465499
 1951-Jan-04,0.002437962
 1951-Jan-05,0.002417165
 1951-Jan-06,0.002405677
 1951-Jan-07,0.002405354
 1951-Jan-08,0.002416894
 1951-Jan-09,0.002439619
 1951-Jan-10,0.002471553
 1951-Jan-11,0.002509774
 1951-Jan-12,0.002550903
 1951-Jan-13,0.00259159
 1951-Jan-14,0.002628896
 1951-Jan-15,0.002660525
 1951-Jan-16,0.002684935
 1951-Jan-17,0.002701341
 1951-Jan-18,0.002709647
 1951-Jan-19,0.002710333
 1951-Jan-20,0.002704315
 1951-Jan-21,0.002692783
 1951-Jan-22,0.002677033
 1951-Jan-23,0.002658313
 1951-Jan-24,0.00263769
 1951-Jan-25,0.002615962
 1951-Jan-26,0.002593644
 1951-Jan-27,0.002571011
 1951-Jan-28,0.002548222
 1951-Jan-29,0.002525482
 1951-Jan-30,0.002503217
 1951-Jan-31,0.002482218
 1951-Feb-01,0.002463703
 1951-Feb-02,0.002449263
 1951-Feb-03,0.002440665
 1951-Feb-04,0.002439542
 1951-Feb-05,0.002447022
 1951-Feb-06,0.002463403
 1951-Feb-07,0.002487982
 1951-Feb-08,0.002519082
 1951-Feb-09,0.002554274
 1951-Feb-10,0.002590719
 1951-Feb-11,0.002625534
 1951-Feb-12,0.002656104
 1951-Feb-13,0.002680319
 1951-Feb-14,0.002696712
 1951-Feb-15,0.002704519
 1951-Feb-16,0.00270368
 1951-Feb-17,0.002694784
 1951-Feb-18,0.002678978
 1951-Feb-19,0.002657834
 1951-Feb-20,0.002633184
 1951-Feb-21,0.002606931
 1951-Feb-22,0.002580849
 1951-Feb-23,0.002556404
 1951-Feb-24,0.002534634
 1951-Feb-25,0.002516102
 1951-Feb-26,0.002500955
 1951-Feb-27,0.002489071
 1951-Feb-28,0.002480245
 1951-Mar-01,0.002474388
 1951-Mar-02,0.002471653
 1951-Mar-03,0.002472469
 1951-Mar-04,0.002477462
 1951-Mar-05,0.00248727
 1951-Mar-06,0.002502311
 1951-Mar-07,0.002522556
 1951-Mar-08,0.002547379
 1951-Mar-09,0.002575528
 1951-Mar-10,0.002605217
 1951-Mar-11,0.002634313
 1951-Mar-12,0.002660576
 1951-Mar-13,0.002681892
 1951-Mar-14,0.002696485
 1951-Mar-15,0.002703076
 1951-Mar-16,0.002700992
 1951-Mar-17,0.00269023
 1951-Mar-18,0.002671472
 1951-Mar-19,0.002646049
 1951-Mar-20,0.00261586
 1951-Mar-21,0.00258322
 1951-Mar-22,0.002550649
 1951-Mar-23,0.002520609
 1951-Mar-24,0.002495213
 1951-Mar-25,0.002475972
 1951-Mar-26,0.002463642
 1951-Mar-27,0.002458206
 1951-Mar-28,0.002459014
 1951-Mar-29,0.002465032
 1951-Mar-30,0.002475129
 1951-Mar-31,0.002488312
 1951-Apr-01,0.002503872
 1951-Apr-02,0.002521408
 1951-Apr-03,0.002540745
 1951-Apr-04,0.002561775
 1951-Apr-05,0.00258429
 1951-Apr-06,0.00260783
 1951-Apr-07,0.002631593
 1951-Apr-08,0.002654434
 1951-Apr-09,0.002674933
 1951-Apr-10,0.002691521
 1951-Apr-11,0.002702649
 1951-Apr-12,0.002706955
 1951-Apr-13,0.00270343
 1951-Apr-14,0.002691561
 1951-Apr-15,0.00267144
 1951-Apr-16,0.002643843
 1951-Apr-17,0.002610256
 1951-Apr-18,0.00257284
 1951-Apr-19,0.002534305
 1951-Apr-20,0.002497683
 1951-Apr-21,0.002466002
 1951-Apr-22,0.002441883
 1951-Apr-23,0.002427149
 1951-Apr-24,0.002422555
 1951-Apr-25,0.002427724
 1951-Apr-26,0.002441316
 1951-Apr-27,0.002461382
 1951-Apr-28,0.002485765
 1951-Apr-29,0.002512464
 1951-Apr-30,0.002539862
 1951-May-01,0.002566815
 1951-May-02,0.002592621
 1951-May-03,0.002616891
 1951-May-04,0.002639396
 1951-May-05,0.002659905
 1951-May-06,0.002678055
 1951-May-07,0.00269328
 1951-May-08,0.002704803
 1951-May-09,0.002711685
 1951-May-10,0.002712926
 1951-May-11,0.0027076
 1951-May-12,0.00269501
 1951-May-13,0.002674845
 1951-May-14,0.002647325
 1951-May-15,0.002613323
 1951-May-16,0.002574441
 1951-May-17,0.002533009
 1951-May-18,0.002491989
 1951-May-19,0.002454727
 1951-May-20,0.002424566
 1951-May-21,0.002404353
 1951-May-22,0.002395938
 1951-May-23,0.002399834
 1951-May-24,0.002415153
 1951-May-25,0.002439846
 1951-May-26,0.002471161
 1951-May-27,0.002506155
 1951-May-28,0.002542128
 1951-May-29,0.002576897
 1951-May-30,0.002608903
 1951-May-31,0.002637193
 1951-Jun-01,0.002661305
 1951-Jun-02,0.00268111
 1951-Jun-03,0.002696646
 1951-Jun-04,0.002707967
 1951-Jun-05,0.00271503
 1951-Jun-06,0.002717632
 1951-Jun-07,0.002715405
 1951-Jun-08,0.002707867
 1951-Jun-09,0.002694521
 1951-Jun-10,0.002674991
 1951-Jun-11,0.002649182
 1951-Jun-12,0.002617443
 1951-Jun-13,0.002580716
 1951-Jun-14,0.002540639
 1951-Jun-15,0.002499572
 1951-Jun-16,0.0024605
 1951-Jun-17,0.002426775
 1951-Jun-18,0.002401688
 1951-Jun-19,0.002387926
 1951-Jun-20,0.002387042
 1951-Jun-21,0.002399123
 1951-Jun-22,0.002422765
 1951-Jun-23,0.002455389
